# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 21 12311.999999999998
  20 22.8873 607.76 429.244
  21 25.2965 0 0
36000 21 12311.999999999998
  1 -22.8873 620.62 423.51
  2 -20.4781 634.17 433.066
  3 -18.0689 645.02 437.217
  4 -15.6597 579.74 441.553
  5 -13.2505 671.37 443.913
  6 -10.8414 588.75 449.094
  7 -8.43217 622.86 455.277
  8 -6.02298 630.7 466.155
  9 -3.61379 590.72 465.807
  10 -1.2046 588.24 464.493
  11 1.2046 601.32 478.892
  12 3.61379 628.78 468.389
  13 6.02298 598.51 459.144
  14 8.43217 609.5 464.697
  15 10.8414 655.23 459.477
  16 13.2505 579.21 442.098
  17 15.6597 614.69 435.19
  18 18.0689 606.54 447.044
  19 20.4781 628.51 439.722
  20 22.8873 617.52 432.244
  21 25.2965 0 0
37000 21 12312
  1 -22.8873 607.36 422.837
  2 -20.4781 632.49 438.43
  3 -18.0689 632.35 434.3
  4 -15.6597 619.17 446.229
  5 -13.2505 645.4 445.313
  6 -10.8414 577.84 447.684
  7 -8.43217 616.49 455.271
  8 -6.02298 632.24 456.198
  9 -3.61379 611.45 463.207
  10 -1.2046 582.06 470.164
  11 1.2046 591.92 480.13
  12 3.61379 619.7 463.2
  13 6.02298 592.5 451.796
  14 8.43217 633.76 464.529
  15 10.8414 646.05 451.829
  16 13.2505 598.06 449.893
  17 15.6597 630.96 440.509
  18 18.0689 619.6 432.545
  19 20.4781 602.77 436.84
  20 22.8873 619.83 424.557
  21 25.2965 0 0
38000 21 12311.999999999998
  1 -22.8873 618.39 427.058
  2 -20.4781 622.9 432.47
  3 -18.0689 629.09 444.673
  4 -15.6597 612.66 448.387
  5 -13.2505 645.24 453.786
  6 -10.8414 585.42 451.636
  7 -8.43217 622.58 451.686
  8 -6.02298 608.09 457.475
  9 -3.61379 621.09 460.494
  10 -1.2046 595.16 464.006
  11 1.2046 636.9 470.518
  12 3.61379 593.11 463.202
  13 6.02298 591.55 448.551
  14 8.43217 625.44 458.127
  15 10.8414 633.22 445.14
  16 13.2505 601.69 450.981
  17 15.6597 624.87 445.048
  18 18.0689 609.15 437.183
  19 20.4781 615.73 434.51
  20 22.8873 619.72 426.745
  21 25.2965 0 0
39000 21 12311.999999999998
  1 -22.8873 603.79 424.556
  2 -20.4781 630.7 447.163
  3 -18.0689 607.89 437.822
